2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:14:47,065 - WARNING - No stats available, using fallback
2025-07-20 14:14:47,990 - WARNING - No stats available, using fallback
2025-07-20 14:14:49,031 - WARNING - No stats available, using fallback
2025-07-20 14:14:49,997 - WARNING - No stats available, using fallback
2025-07-20 14:15:19,894 - WARNING - No stats available, using fallback
2025-07-20 14:15:20,557 - WARNING - No stats available, using fallback
2025-07-20 14:15:21,571 - WARNING - No stats available, using fallback
2025-07-20 14:15:22,567 - WARNING - No stats available, using fallback
2025-07-20 14:15:23,582 - WARNING - No stats available, using fallback
2025-07-20 14:15:24,559 - WARNING - No stats available, using fallback
2025-07-20 14:15:25,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:26,564 - WARNING - No stats available, using fallback
2025-07-20 14:15:27,565 - WARNING - No stats available, using fallback
2025-07-20 14:15:28,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:29,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:30,562 - WARNING - No stats available, using fallback
2025-07-20 14:15:31,567 - WARNING - No stats available, using fallback
2025-07-20 14:15:32,565 - WARNING - No stats available, using fallback
2025-07-20 14:15:33,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:34,562 - WARNING - No stats available, using fallback
2025-07-20 14:15:35,565 - WARNING - No stats available, using fallback
2025-07-20 14:15:36,561 - WARNING - No stats available, using fallback
2025-07-20 14:15:37,562 - WARNING - No stats available, using fallback
2025-07-20 14:15:38,562 - WARNING - No stats available, using fallback
2025-07-20 14:15:39,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:40,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:41,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:42,561 - WARNING - No stats available, using fallback
2025-07-20 14:15:43,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:44,569 - WARNING - No stats available, using fallback
2025-07-20 14:15:45,559 - WARNING - No stats available, using fallback
2025-07-20 14:15:46,564 - WARNING - No stats available, using fallback
2025-07-20 14:15:47,567 - WARNING - No stats available, using fallback
2025-07-20 14:15:48,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:49,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:50,577 - WARNING - No stats available, using fallback
2025-07-20 14:15:51,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:52,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:53,562 - WARNING - No stats available, using fallback
2025-07-20 14:15:54,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:55,566 - WARNING - No stats available, using fallback
2025-07-20 14:15:56,565 - WARNING - No stats available, using fallback
2025-07-20 14:15:57,563 - WARNING - No stats available, using fallback
2025-07-20 14:15:58,570 - WARNING - No stats available, using fallback
2025-07-20 14:15:59,567 - WARNING - No stats available, using fallback
2025-07-20 14:16:00,563 - WARNING - No stats available, using fallback
2025-07-20 14:16:01,565 - WARNING - No stats available, using fallback
2025-07-20 14:16:02,564 - WARNING - No stats available, using fallback
